28.11.2021 14:31:10	, документ=618852163000226600	, товар=618852168000207601	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 14:33:52	, документ=618852273000244615	, товар=618852308000230616	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 14:37:43	, документ=618852526000238630	, товар=618852541000259631	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 14:40:39	, документ=618852704000278651	, товар=618852708000245652	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 14:43:55	, документ=618852905000271666	, товар=618852913000212667	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 14:49:35	, документ=618853240000209681	, товар=618853243000297682	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:11:49	, документ=618854596000237698	, товар=618854603000207699	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:27:01	, документ=618855500000240714	, товар=618855504000246715	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:33:33	, документ=618855893000280729	, товар=618855898000285730	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:36:24	, документ=618856073000266744	, товар=618856077000288745	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
